Membership No  Date Joined  Active  
    98180      2016-12-5    yes   
    97223      2018-3-18    yes   
    38078      2018-4-20    yes   
    55298      2015-4-6     yes   
    18265      2020-9-3     yes   
    29520      2017-9-7     yes   
    79028      2016-4-18    yes   
    39603      2020-9-24    yes   
    15845      2018-9-8     yes   
    40477      2016-1-24    yes   
    59947      2016-12-2    yes   
    13150      2017-3-16    yes   
    72223      2019-9-12    yes   
    47565      2019-11-11   yes   
