Membership No  Date Joined  Active  
    26880      2015-3-7     no    
    88337      2018-11-8    no    
    49240      2019-10-10   no    
    55341      2019-10-5    no    
    76072      2016-10-12   no    
    11552      2018-11-5    no    
    36857      2019-6-16    no    
    60991      2016-4-21    no    
    95403      2018-2-20    no    
    72327      2015-2-4     no    
    62715      2018-6-17    no    
    76148      2019-7-10    no    
    16988      2017-6-9     no    
    96717      2019-4-18    no    
    37767      2016-9-14    no    
